Date,ML Signal,VIXM Returns,SPY Returns,VIXM Close,SPY Close,VIXM Growth,SPY Growth,VXCN Returns,VXCN Growth,Token Price
2/2/2011,0,-0.002183111,-0.001912285,274.2399902,105.9024658,0.997816889,0.998087715,0,0,0
2/3/2011,0,-0.005980106,0.002222054,272.6000061,106.1377869,0.991849839,1.00030552,0,0,0
2/4/2011,0,-0.01232581,0.002829275,269.2399902,106.4380798,0.979624486,1.003135659,0,0,0
2/7/2011,0,-0.012628116,0.006252503,265.8399963,107.1035843,0.967253674,1.009407768,0,0,0
2/8/2011,0,-0.013542003,0.004546568,262.2399902,107.590538,0.954155122,1.013997109,0,0,0
2/9/2011,0,-0.005491163,-0.002263066,260.7999878,107.3470535,0.948915701,1.011702367,0,0,0
2/10/2011,0,-0.00644169,0.000377962,259.1199951,107.3876266,0.94280308,1.012084752,0,0,0
2/11/2011,0,-0.012966968,0.00597044,255.7599945,108.0287781,0.930577783,1.018127344,0,0,0
2/14/2011,0,-0.002033113,0.00240382,255.2400055,108.2884598,0.928685813,1.020574738,0,0,0
2/15/2011,0,0.008305829,-0.003147478,257.3599854,107.9476242,0.936399319,1.017362502,0,0,0
2/16/2011,0,-0.002175931,0.006315115,256.7999878,108.6293259,0.934361779,1.023787263,0,0,0
2/17/2011,0,0.018380068,0.002988567,261.519989,108.9539719,0.951535412,1.026846919,0,0,0
2/18/2011,0,0.016365857,0.002085735,265.7999878,109.181221,0.967108104,1.02898865,0,0,0
2/21/2011,1,0.059292741,-0.020069877,281.5599976,106.9899673,1.024450594,1.008336975,0.059292741,0,0
2/22/2011,0,0,0,281.5599976,106.9899673,1.024450594,1.008336975,0,0,0
2/23/2011,0,0.026566313,-0.006144306,289.0400085,106.3325882,1.051666469,1.002141443,0,0,0
2/24/2011,1,0.001107033,-0.000687081,289.3599854,106.2595291,1.052830699,1.001452891,0.001107033,0,0
2/25/2011,0,-0.035941369,0.010692831,278.9599915,107.3957443,1.014990522,1.012161258,0,0,0
2/28/2011,0,-0.018784021,0.006196394,273.7200012,108.0612106,0.995924919,1.018433007,0,0,0
3/1/2011,0,0.040625439,-0.016672787,284.8399963,106.2595291,1.036384806,1.001452891,0,0,0
3/2/2011,1,-0.002949011,0.00213848,284,106.486763,1.033328496,1.003594478,-0.002949011,0,0
3/3/2011,1,-0.026760585,0.017224801,276.3999939,108.3209763,1.005676021,1.020881193,-0.026760585,0,0
3/4/2011,1,0.024746731,-0.007492474,283.2399902,107.5093842,1.030563215,1.013232267,0.024746731,0,0
3/7/2011,0,0.005790195,-0.007851062,284.8800049,106.6653214,1.036530377,1.005277318,0,0,0
3/8/2011,0,-0.00365069,0.008750048,283.8399963,107.5986481,1.032746326,1.014073543,0,0,0
3/9/2011,0,0.012260467,-0.001433437,287.3200073,107.4444122,1.045408278,1.012619933,0,0,0
3/10/2011,1,0.021300275,-0.018505848,293.4400024,105.4560623,1.067675762,0.993880543,0.021300275,0,0
3/11/2011,0,-0.013358824,0.006926325,289.519989,106.1864853,1.053412869,1.000764483,0,0,0
3/14/2011,0,0.012158123,-0.006037832,293.0400085,105.5453491,1.066220392,0.994722035,0,0,0
3/15/2011,0,0.021021033,-0.011457174,299.2000122,104.3360977,1.088633446,0.983325332,0,0,0
3/16/2011,0,0.031951862,-0.018512686,308.7600098,102.4045563,1.123417311,0.965121338,0,0,0
3/17/2011,0,-0.026428305,0.01323507,300.6000061,103.7598877,1.093727296,0.977894786,0,0,0
3/18/2011,0,-0.026613439,0.003637422,292.6000061,104.1373062,1.064619451,0.981451802,0,0,0
3/21/2011,1,-0.043609055,0.015497508,279.8399963,105.7511749,1.018192403,0.996661859,-0.043609055,0,0
3/22/2011,1,-0.00371644,-0.003468504,278.7999878,105.3843765,1.014408352,0.993204934,-0.00371644,0,0
3/23/2011,0,-0.014060198,0.002862026,274.8800049,105.6859894,1.00014557,0.996047512,0,0,0
3/24/2011,0,-0.01018633,0.009563346,272.0799866,106.696701,0.989957758,1.005573059,0,0,0
3/25/2011,1,0.013231426,0.003055713,275.6799927,107.0227356,1.00305631,1.008645802,0.013231426,0,0
3/28/2011,0,0.00043527,-0.002436967,275.7999878,106.7619247,1.00349291,1.006187766,0,0,0
3/29/2011,0,-0.012327752,0.006718334,272.3999939,107.479187,0.991122098,1.012947671,0,0,0
3/30/2011,1,-0.013950029,0.006901006,268.6000061,108.2209015,0.977295916,1.019938029,-0.013950029,0,0
3/31/2011,1,0.003425104,-0.001355331,269.519989,108.0742264,0.980643256,1.018555676,0.003425104,0,0
4/1/2011,1,-0.004749179,0.004223429,268.2399902,108.5306702,0.975986006,1.022857473,-0.004749179,0,0
4/4/2011,1,-0.004324499,0.000826413,267.0799866,108.6203613,0.971765355,1.023702776,-0.004324499,0,0
4/5/2011,1,-0.000598971,-0.000150241,266.9200134,108.6040421,0.971183296,1.023548973,-0.000598971,0,0
4/6/2011,1,0.00059933,0.003152031,267.0799866,108.9463654,0.971765355,1.026775231,0.00059933,0,0
4/7/2011,0,0.008836364,-0.00254338,269.4400024,108.6692734,0.980352227,1.024163752,0,0,0
4/8/2011,1,0.015142468,-0.003450627,273.519989,108.2942963,0.995197179,1.020629745,0.015142468,0,0
4/11/2011,1,0.004094858,-0.003010494,274.6400146,107.968277,0.99927237,1.017557145,0.004094858,0,0
4/12/2011,0,0.008010419,-0.007474057,276.8399963,107.1613159,1.007276961,1.009951865,0,0,0
4/13/2011,0,-0.009391729,-7.60E-05,274.2399902,107.1531677,0.997816889,1.009875072,0,0,0
4/14/2011,1,-0.000729221,0.000760425,274.0400085,107.2346497,0.99708926,1.010643006,-0.000729221,0,0
4/15/2011,0,-0.004378967,0.003648689,272.8399963,107.6259155,0.992723039,1.014330528,0,0,0
4/18/2011,0,0.013634369,-0.011208611,276.5599976,106.4195786,1.006258191,1.002961292,0,0,0
4/19/2011,0,-0.014318743,0.005744436,272.6000061,107.030899,0.991849839,1.008722739,0,0,0
4/20/2011,0,-0.01408656,0.013631788,268.7600098,108.4899216,0.977878087,1.022473434,0,0,0
4/21/2011,1,-0.011162375,0.005108934,265.7600098,109.0441895,0.966962645,1.027697183,-0.011162375,0,0
4/22/2011,1,-0.011438924,-0.001046553,262.7200012,108.930069,0.955901633,1.026621644,-0.011438924,0,0
4/25/2011,0,0,0,262.7200012,108.930069,0.955901633,1.026621644,0,0,0
4/26/2011,0,-0.018270355,0.008605318,257.9200134,109.8674469,0.93843697,1.03545605,0,0,0
4/27/2011,0,-0.013182417,0.006528502,254.5200043,110.5847168,0.926066103,1.042216028,0,0,0
4/28/2011,1,-0.003143183,0.003243286,253.7200012,110.9433746,0.923155307,1.045596232,-0.003143183,0,0
4/29/2011,0,-0.006621504,0.002350778,252.0399933,111.2041779,0.917042631,1.048054197,0,0,0
5/2/2011,1,0.012379029,-0.0015392,255.1600037,111.0330124,0.928394728,1.046441032,0.012379029,0,0
5/3/2011,1,0.013324948,-0.003596911,258.5599976,110.6336365,0.94076554,1.042677076,0.013324948,0,0
5/4/2011,0,0.002011096,-0.006630797,259.0799866,109.9000473,0.94265751,1.035763296,0,0,0
5/5/2011,1,0.013432188,-0.00904843,262.5599976,108.9056244,0.955319462,1.026391264,0.013432188,0,0
5/6/2011,0,-0.012035358,0.004415853,259.3999939,109.3865356,0.94382185,1.030923657,0,0,0
5/9/2011,0,-0.014803379,0.003874801,255.5599976,109.8103867,0.929850098,1.034918281,0,0,0
5/10/2011,0,-0.015338857,0.008536054,251.6399994,110.7477341,0.915587261,1.043752399,0,0,0
5/11/2011,1,0.007312019,-0.010524509,253.4799957,109.5821686,0.922282052,1.032767418,0.007312019,0,0
